fold,best_threshold,acc,balanced_acc,precision,recall,f1,precision_macro,recall_macro,f1_macro,precision_c0,recall_c0,f1_c0,precision_c1,recall_c1,f1_c1
1,0.525,0.45454545454545453,0.35714285714285715,0.5555555555555556,0.7142857142857143,0.625,0.2777777777777778,0.35714285714285715,0.3125,0.0,0.0,0.0,0.5555555555555556,0.7142857142857143,0.625
2,0.5,0.45454545454545453,0.5178571428571428,0.6666666666666666,0.2857142857142857,0.4,0.5208333333333333,0.5178571428571428,0.45,0.375,0.75,0.5,0.6666666666666666,0.2857142857142857,0.4
3,0.6,0.18181818181818182,0.25,0.0,0.0,0.0,0.1111111111111111,0.25,0.15384615384615385,0.2222222222222222,0.5,0.3076923076923077,0.0,0.0,0.0
4,0.6,0.45454545454545453,0.4107142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.25,0.25,0.25,0.5714285714285714,0.5714285714285714,0.5714285714285714
5,0.475,0.5454545454545454,0.42857142857142855,0.6,0.8571428571428571,0.7058823529411765,0.3,0.42857142857142855,0.35294117647058826,0.0,0.0,0.0,0.6,0.8571428571428571,0.7058823529411765
6,0.6,0.5454545454545454,0.5357142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.5333333333333333,0.5357142857142857,0.5299145299145299,0.4,0.5,0.4444444444444444,0.6666666666666666,0.5714285714285714,0.6153846153846154
7,0.1,0.5454545454545454,0.5,0.5454545454545454,1.0,0.7058823529411765,0.2727272727272727,0.5,0.35294117647058826,0.0,0.0,0.0,0.5454545454545454,1.0,0.7058823529411765
8,0.525,0.36363636363636365,0.35,0.42857142857142855,0.5,0.46153846153846156,0.3392857142857143,0.35,0.3418803418803419,0.25,0.2,0.2222222222222222,0.42857142857142855,0.5,0.46153846153846156
9,0.525,0.7,0.75,1.0,0.5,0.6666666666666666,0.7857142857142857,0.75,0.696969696969697,0.5714285714285714,1.0,0.7272727272727273,1.0,0.5,0.6666666666666666
10,0.525,0.5,0.5,0.6,0.5,0.5454545454545454,0.5,0.5,0.4949494949494949,0.4,0.5,0.4444444444444444,0.6,0.5,0.5454545454545454
11,0.5,0.6363636363636364,0.6071428571428572,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6071428571428572,0.6071428571428572,0.6071428571428572,0.5,0.5,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143
12,0.65,0.45454545454545453,0.5714285714285714,1.0,0.14285714285714285,0.25,0.7,0.5714285714285714,0.4107142857142857,0.4,1.0,0.5714285714285714,1.0,0.14285714285714285,0.25
13,0.5,0.5454545454545454,0.42857142857142855,0.6,0.8571428571428571,0.7058823529411765,0.3,0.42857142857142855,0.35294117647058826,0.0,0.0,0.0,0.6,0.8571428571428571,0.7058823529411765
14,0.45000000000000007,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.3181818181818182,0.5,0.3888888888888889,0.0,0.0,0.0,0.6363636363636364,1.0,0.7777777777777778
15,0.5750000000000001,0.6363636363636364,0.7142857142857143,1.0,0.42857142857142855,0.6,0.75,0.7142857142857143,0.6333333333333333,0.5,1.0,0.6666666666666666,1.0,0.42857142857142855,0.6
16,0.5,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.3181818181818182,0.5,0.3888888888888889,0.0,0.0,0.0,0.6363636363636364,1.0,0.7777777777777778
17,0.6,0.36363636363636365,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.0,0.0,0.0,0.4444444444444444,0.6666666666666666,0.5333333333333333
18,0.525,0.5454545454545454,0.55,0.6,0.5,0.5454545454545454,0.55,0.55,0.5454545454545454,0.5,0.6,0.5454545454545454,0.6,0.5,0.5454545454545454
19,0.1,0.6,0.5,0.6,1.0,0.75,0.3,0.5,0.375,0.0,0.0,0.0,0.6,1.0,0.75
20,0.5,0.4,0.3333333333333333,0.5,0.6666666666666666,0.5714285714285714,0.25,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285714
21,0.525,0.6363636363636364,0.7142857142857143,1.0,0.42857142857142855,0.6,0.75,0.7142857142857143,0.6333333333333333,0.5,1.0,0.6666666666666666,1.0,0.42857142857142855,0.6
22,0.525,0.18181818181818182,0.25,0.0,0.0,0.0,0.1111111111111111,0.25,0.15384615384615385,0.2222222222222222,0.5,0.3076923076923077,0.0,0.0,0.0
23,0.5,0.6363636363636364,0.6071428571428572,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6071428571428572,0.6071428571428572,0.6071428571428572,0.5,0.5,0.5,0.7142857142857143,0.7142857142857143,0.7142857142857143
24,0.65,0.6363636363636364,0.6607142857142857,0.8,0.5714285714285714,0.6666666666666666,0.65,0.6607142857142857,0.6333333333333333,0.5,0.75,0.6,0.8,0.5714285714285714,0.6666666666666666
25,0.55,0.6363636363636364,0.5535714285714286,0.6666666666666666,0.8571428571428571,0.75,0.5833333333333333,0.5535714285714286,0.5416666666666666,0.5,0.25,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.75
26,0.1,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.3181818181818182,0.5,0.3888888888888889,0.0,0.0,0.0,0.6363636363636364,1.0,0.7777777777777778
27,0.1,0.5454545454545454,0.5,0.5454545454545454,1.0,0.7058823529411765,0.2727272727272727,0.5,0.35294117647058826,0.0,0.0,0.0,0.5454545454545454,1.0,0.7058823529411765
28,0.525,0.45454545454545453,0.43333333333333335,0.5,0.6666666666666666,0.5714285714285714,0.41666666666666663,0.43333333333333335,0.4107142857142857,0.3333333333333333,0.2,0.25,0.5,0.6666666666666666,0.5714285714285714
29,0.275,0.6,0.5,0.6,1.0,0.75,0.3,0.5,0.375,0.0,0.0,0.0,0.6,1.0,0.75
30,0.1,0.6,0.5,0.6,1.0,0.75,0.3,0.5,0.375,0.0,0.0,0.0,0.6,1.0,0.75
31,0.5750000000000001,0.5454545454545454,0.42857142857142855,0.6,0.8571428571428571,0.7058823529411765,0.3,0.42857142857142855,0.35294117647058826,0.0,0.0,0.0,0.6,0.8571428571428571,0.7058823529411765
32,0.525,0.5454545454545454,0.48214285714285715,0.625,0.7142857142857143,0.6666666666666666,0.47916666666666663,0.48214285714285715,0.47619047619047616,0.3333333333333333,0.25,0.2857142857142857,0.625,0.7142857142857143,0.6666666666666666
33,0.275,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.3181818181818182,0.5,0.3888888888888889,0.0,0.0,0.0,0.6363636363636364,1.0,0.7777777777777778
34,0.1,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.3181818181818182,0.5,0.3888888888888889,0.0,0.0,0.0,0.6363636363636364,1.0,0.7777777777777778
35,0.55,0.2727272727272727,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
36,0.25,0.6363636363636364,0.5,0.6363636363636364,1.0,0.7777777777777778,0.3181818181818182,0.5,0.3888888888888889,0.0,0.0,0.0,0.6363636363636364,1.0,0.7777777777777778
37,0.475,0.5454545454545454,0.5,0.5454545454545454,1.0,0.7058823529411765,0.2727272727272727,0.5,0.35294117647058826,0.0,0.0,0.0,0.5454545454545454,1.0,0.7058823529411765
38,0.525,0.36363636363636365,0.4,0.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.4,0.8,0.5333333333333333,0.0,0.0,0.0
39,0.1,0.6,0.5,0.6,1.0,0.75,0.3,0.5,0.375,0.0,0.0,0.0,0.6,1.0,0.75
40,0.1,0.6,0.5,0.6,1.0,0.75,0.3,0.5,0.375,0.0,0.0,0.0,0.6,1.0,0.75
