fold,mode,thr,acc,precision,recall,f1,n_test_files
1,calibrated,0.5,0.5,0.5,1.0,0.6666666666666666,18
1,grid_fbeta,0.45999999999999996,0.5,0.5,1.0,0.6666666666666666,18
2,calibrated,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,18
2,grid_fbeta,0.41,0.6111111111111112,0.6470588235294118,0.9166666666666666,0.7586206896551724,18
3,calibrated,0.5,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724,18
3,grid_fbeta,0.49,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551724,18
4,calibrated,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,18
4,grid_fbeta,0.3,0.6666666666666666,0.6666666666666666,1.0,0.8,18
5,calibrated,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,18
5,grid_fbeta,0.3,0.6666666666666666,0.6666666666666666,1.0,0.8,18
6,calibrated,0.5,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,18
6,grid_fbeta,0.3,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,18
