file,rows,cols,shape_ok,order_ok,nan_ratio,n_constant_cols,constant_cols,delta_outlier_rate_max,flag,reasons
MIT_T1_User10_features.csv,1500,16,1,1,0.0,0,,0.222,OK,
MIT_T1_User14_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.242,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
MIT_T1_User24_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.11933333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
MIT_T1_User28_features.csv,1500,16,1,1,0.0,0,,0.13866666666666666,OK,
MIT_T1_User32_features.csv,1500,16,1,1,0.0,0,,0.15,OK,
MIT_T1_User36_features.csv,1500,16,1,1,0.0,0,,0.19666666666666666,OK,
MIT_T2_User15_features.csv,1500,16,1,1,0.0,0,,0.16466666666666666,OK,
MIT_T2_User17_features.csv,1500,16,1,1,0.0,0,,0.22333333333333333,OK,
MIT_T2_User19_features.csv,1500,16,1,1,0.0,0,,0.43933333333333335,WARN,delta_outlier_rate_max=0.439
MIT_T2_User23_features.csv,1500,16,1,1,0.0,0,,0.13,OK,
MIT_T2_User34_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.13133333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
MIT_T2_User4_features.csv,1500,16,1,1,0.0,0,,0.18933333333333333,OK,
MIT_T3_User13_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.14533333333333334,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
MIT_T3_User22_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.12466666666666666,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
MIT_T3_User2_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.19466666666666665,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
MIT_T3_User35_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.12466666666666666,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
MIT_T3_User6_features.csv,1500,16,1,1,0.0,0,,0.16733333333333333,OK,
MIT_T3_User8_features.csv,1500,16,1,1,0.0,0,,0.2966666666666667,OK,
Princeton_T1_User 12_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.158,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T1_User 16_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.16733333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T1_User 25_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.17933333333333334,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T1_User 26_features.csv,1500,16,1,1,0.0,0,,0.162,OK,
Princeton_T1_User 5_features.csv,1500,16,1,1,0.0,0,,0.228,OK,
Princeton_T1_User 9_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.20466666666666666,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T2_User 13_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.146,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T2_User 14_features.csv,1500,16,1,1,0.0,0,,0.3433333333333333,WARN,delta_outlier_rate_max=0.343
Princeton_T2_User 21_features.csv,1500,16,1,1,0.0,0,,0.24133333333333334,OK,
Princeton_T2_User 28_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.17,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T2_User 29_features.csv,1500,16,1,1,0.0,0,,0.3333333333333333,WARN,delta_outlier_rate_max=0.333
Princeton_T2_User 30_features.csv,1500,16,1,1,0.0,0,,0.19666666666666666,OK,
Princeton_T3_User 11_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.182,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T3_User 1_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.14466666666666667,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T3_User 23_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.2,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T3_User 31_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.15666666666666668,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T3_User 32_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.134,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
Princeton_T3_User 3_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.15533333333333332,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
caltech_t1_user15_features.csv,1500,16,1,1,0.0,0,,0.15866666666666668,OK,
caltech_t1_user19_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.38,WARN,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']; delta_outlier_rate_max=0.380
caltech_t1_user21_features.csv,1500,16,1,1,0.0,0,,0.20666666666666667,OK,
caltech_t1_user30_features.csv,1500,16,1,1,0.0,0,,0.20066666666666666,OK,
caltech_t1_user6_features.csv,1500,16,1,1,0.0,0,,0.14666666666666667,OK,
caltech_t1_user7_features.csv,1500,16,1,1,0.0,0,,0.38666666666666666,WARN,delta_outlier_rate_max=0.387
caltech_t2_user12_features.csv,1500,16,1,1,0.0,0,,0.15466666666666667,OK,
caltech_t2_user16_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.11133333333333334,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
caltech_t2_user22_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.12866666666666668,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
caltech_t2_user31_features.csv,1500,16,1,1,0.0,0,,0.16666666666666666,OK,
caltech_t2_user35_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.13666666666666666,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
caltech_t2_user5_features.csv,1500,16,1,1,0.0,0,,0.16133333333333333,OK,
caltech_t3_user10_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.19266666666666668,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
caltech_t3_user18_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.14133333333333334,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
caltech_t3_user20_features.csv,1500,16,1,1,0.0,0,,0.17066666666666666,OK,
caltech_t3_user26_features.csv,1500,16,1,1,0.0,0,,0.18466666666666667,OK,
caltech_t3_user36_features.csv,1500,16,1,1,0.0,0,,0.158,OK,
caltech_t3_user9_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.19333333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
harvard_t1_user11_features.csv,1500,16,1,1,0.0,0,,0.32133333333333336,WARN,delta_outlier_rate_max=0.321
harvard_t1_user17_features.csv,1500,16,1,1,0.0,0,,0.15466666666666667,OK,
harvard_t1_user29_features.csv,1500,16,1,1,0.0,0,,0.35,WARN,delta_outlier_rate_max=0.350
harvard_t1_user31_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.21266666666666667,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
harvard_t1_user3_features.csv,1500,16,1,1,0.0,0,,0.14466666666666667,OK,
harvard_t1_user4_features.csv,1500,16,1,1,0.0,0,,0.206,OK,
harvard_t2_user10_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.19333333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
harvard_t2_user25_features.csv,1500,16,1,1,0.0,0,,0.184,OK,
harvard_t2_user26_features.csv,1500,16,1,1,0.0,0,,0.15666666666666668,OK,
harvard_t2_user2_features.csv,1500,16,1,1,0.0,0,,0.24666666666666667,OK,
harvard_t2_user33_features.csv,1500,16,1,1,0.0,0,,0.16466666666666666,OK,
harvard_t2_user36_features.csv,1500,16,1,1,0.0,0,,0.15666666666666668,OK,
harvard_t2_user8_features.csv,1500,16,1,1,0.0,0,,0.19866666666666666,OK,
harvard_t3_user24_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.146,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
harvard_t3_user27_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.18133333333333335,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
harvard_t3_user28_features.csv,1500,16,1,1,0.0,0,,0.15133333333333332,OK,
harvard_t3_user34_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.14,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
harvard_t3_user7_features.csv,1500,16,1,1,0.0,0,,0.20533333333333334,OK,
stanford_t1_user23_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.13533333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t1_user27_features.csv,1500,16,1,1,0.0,0,,0.164,OK,
stanford_t1_user2_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.22733333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t1_user33_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.13266666666666665,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t1_user34_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.18333333333333332,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t1_user8_features.csv,1500,16,1,1,0.0,0,,0.26866666666666666,OK,
stanford_t2_user18_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.14933333333333335,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t2_user1_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.182,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t2_user20_features.csv,1500,16,1,1,0.0,0,,0.24666666666666667,OK,
stanford_t2_user24_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.11,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t2_user6_features.csv,1500,16,1,1,0.0,0,,0.21466666666666667,OK,
stanford_t2_user7_features.csv,1500,16,1,1,0.0,0,,0.142,OK,
stanford_t3_user 4_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.144,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t3_user12_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.16066666666666668,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t3_user14_features.csv,1500,16,1,1,0.0,0,,0.33866666666666667,WARN,delta_outlier_rate_max=0.339
stanford_t3_user16_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.14133333333333334,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
stanford_t3_user17_features.csv,1500,16,1,1,0.0,0,,0.12,OK,
stanford_t3_user5_features.csv,1500,16,1,1,0.0,0,,0.162,OK,
yale_t1_user13_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.12666666666666668,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t1_user18_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.11933333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t1_user1_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.174,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t1_user20_features.csv,1500,16,1,1,0.0,0,,0.16866666666666666,OK,
yale_t1_user22_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.11933333333333333,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t1_user35_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.17466666666666666,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t2_user11_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.124,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t2_user27_features.csv,1500,16,1,1,0.0,0,,0.14,OK,
yale_t2_user32_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.136,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t2_user3_features.csv,1500,16,1,1,0.0,0,,0.178,OK,
yale_t2_user9_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.20533333333333334,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t3_user15_features.csv,1500,16,1,1,0.0,0,,0.20066666666666666,OK,
yale_t3_user19_features.csv,1500,16,1,1,0.0,0,,0.4013333333333333,WARN,delta_outlier_rate_max=0.401
yale_t3_user21_features.csv,1500,16,1,1,0.0,0,,0.12933333333333333,OK,
yale_t3_user25_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.102,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t3_user29_features.csv,1500,16,1,1,0.0,0,,0.016666666666666666,OK,
yale_t3_user30_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.148,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
yale_t3_user33_features.csv,1500,16,1,1,0.0,2,BKDUR;delta_BKDUR,0.14,OK,allowed_const_raw=['BKDUR']; delta_from_allowed_raw=['delta_BKDUR']
